Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	21082	19519	3063	2456	16
DERSIL	18609	23426	4084	2993	80
DYSSIL	11502	9337	885	1436	0
ECTDAV	14276	9671	1878	1869	12
ARGBRU	16827	11967	1560	1417	284
TRIANT	12473	10205	1192	1292	0
TRICLA	14521	19759	2437	2042	921
PARTEP	11164	10311	1393	1402	0
LATELE	19478	12917	1328	1266	667
ULODIV	11354	14228	1896	1633	108
OEDGIB	11978	5406	738	952	42
HYLGRA	12339	12339	3028	1770	2955
CARROT	16176	8858	1122	963	2258
TACGIG	24467	12452	2119	2142	3334
