Species	Singleton	Dispersed	Proximal	Tandem	Segmental-WGD
HAELON	18199	17663	4410	5321	543
DERSIL	14807	18409	6159	7900	1917
DYSSIL	8984	10979	1062	2020	115
ECTDAV	10957	9900	2098	4062	689
ARGBRU	13220	10840	2060	4432	1503
TRIANT	8129	11273	1533	3404	823
TRICLA	9330	15248	3791	4869	6442
PARTEP	7757	10424	1749	3867	473
LATELE	16004	12848	1722	2719	2363
ULODIV	8191	13722	2605	2730	1971
OEDGIB	9084	7141	935	1755	201
HYLGRA	8846	10714	3645	5156	4070
CARROT	9306	8508	1306	2231	8026
TACGIG	17528	11252	1746	3939	10049
